序号,条款号,评分因素,权重
1,商务部分评分标准( 10 %),"响应文件的完整性
响应文件的完整性和响应性检查；评价偏差项是否合理。评分结果分为A～D四个档次。",1%
2,供应商业绩,满足竞争性谈判文件供应商资格要求中业绩要求的，得60分；每增加1项以下业绩（标段一：2021年1月1日至报价截止时间，在政府机关、事业单位或大中型企业的数字化审计项目业绩，且单项合同金额不低于200万元；标段二：2021年1月1日至报价截止时间，在政府机关、事业单位或大中型企业的在线协作平台或企业知识库管理项目业绩），加10分，最多加40分，本项满分100分。以合同签订时间为准，需提供合同签字页、合同金额页、合同采购内容页等能体现业绩要求特征的证明材料扫描件。,3%
3,信用评价,根据中国三峡集团有限公司最新发布的年度供应商信用评价结果进行统一评分，A、B、C三个等级信用得分分别为100、85、60分。如供应商初次进入三峡集团报价，由评审小组根据其以往业绩及在其他单位的合同履约情况合理确定本次评审信用等级。,3%
4,财务状况,评价供应商近3年（2021年~2023年）财务状况。评分结果分为A～D四个档次。（若供应商为联合体，评审联合体牵头人）,1%
5,报价合理性,对报价构成、单价、数量等进行合理性评审。评分结果分为A~D四个档次。,2%
6,报价评分标准( 35 %),当0<Di≤3%时，每高1%扣1分； 当3%<Di≤6%时，每高1%扣1.5分； 当6%<Di，每高1%扣2分； 当-3%<Di≤0时，不扣分； 当-6%<Di≤-3%时，每低1%扣0.5分； 当-9%<Di≤-6%时，每低1%扣1分； 当Di≤-9%时，每低1%扣1.5分； 满分为100分，最低得60分。 上述计分按分段累进计算，当入围供应商报价与评审基准价B比例值处于分段计算区间内时，分段计算按内插法等比例计扣分。,35%
7,技术部分评分标准( 55 %),"1.系统采用的技术路线和系统架构是否先进、合理、实用，是否采用先进的平台和软件，是否有成熟的二次开发工具；2.系统功能设计是否完整、合理，业务逻辑和流程是否准确、合理，系统界面和操作体验设计是否良好；3.系统并发数和各项性能指标是否满足要求，系统稳定性、安全性、兼容性、扩展性、集成能力等方面的设计是否合理和满足要求；4.系统数据安全设计是否满足要求，是否具备防泄漏、防篡改等数据安全防护能力，是否能对软件供应链进行全面安全管理；5.系统是否适配自主可控的服务器、操作系统、中间件、数据库等软硬件；6.系统在模型搭建和新技术应用方面的设计是否满足要求；7.系统原型产品是否能够与采购人需求匹配。
评分结果分为A～D四个档次。",13%
8,系统实施,"1.实施方案设计是否合理，内容涵盖是否全面，相关文档是否完整，是否具有适用的范本格式；2.是否采用了合理的项目管理工具、方法，是否制定制度、措施、文档范本等保障措施；3.系统测试、部署方案是否完整、可行，是否充分考虑了采购人现有的资源条件；4.基础数据、历史数据及审计相关源端数据的治理方案是否全面、可行，数据治理规划和建模方案是否合理可行（仅适用标段一）/是否制定合理可行的配合标段一供应商完成系统对接开发的工作保障措施（仅适用标段二）。
评分结果分为A～D四个档次。",13%
9,项目管理方案,项目服务期是否满足采购人的要求，进度安排是否合理、可行，是否制定了关键节点和里程碑，各阶段工作量的规划是否合理，各项保障措施是否合理。评分结果分为A～D四个档次。,4%
10,技术支持与服务方案,是否有详细的培训方案和技术支持方案；是否制定详细的知识转移方案，培训方案是否充分考虑系统应用、维护和二次开发以及是否提供源代码等；培训对象、时间、内容是否完整、合理，培训材料、培训老师的资历配备满足本项目要求；技术支持方案是否详细、合理、可行，是否具有较好的技术支持措施手段，是否提供系统后续维护升级方案，售后服务保障体系是否满足采购人的要求。评分结果分为A～D四个档次。,7%
11,项目团队及实施人员,"能投入本项目的人力资源情况，项目经理、主要项目成员（包括但不限于子项目经理、产品经理、业务经理、架构师、开发负责人、实施负责人、测试负责人等）具备的技术资质、职称、项目经验、从业年限（项目经理不少于5年，主要项目成员不少于3年）、司龄（项目经理不少于3年，主要项目成员不少于2年）是否能满足本项目要求，项目实施组织是否科学合理，现场人员的数量和进场时间是否合理并满足本项目要求。
评分结果分为A～D四个档次。",10%
12,项目陈述,供应商拟任的项目经理对建设方案进行陈述，包括对本项目需求理解、总体设计、重点功能的设计思路、实施方案、项目实施重点及难点、类似项目案例等内容（应提交有关陈述材料）；陈述是否思路清晰，能否抓住项目建设重点，并对系统关键功能要求进行全面、明确的响应；陈述是否包括原型产品演示；评分结果分为A～D四个档次。如陈述人不是拟任的项目经理，则评为D档。,8%
